,id,date,personnelid,adminid
109,424,"May 08, 2022 14:25",Guest,123
110,425,"May 08, 2022 14:25",Guest,123
111,426,"May 08, 2022 14:26",18006197,123
112,427,"May 08, 2022 14:26",18006197,123
113,428,"May 08, 2022 14:26",18006197,123
114,429,"May 08, 2022 14:26",18006197,123
115,430,"May 08, 2022 14:26",NoMask-0.99,123
116,431,"May 08, 2022 14:26",NoMask-0.99,123
117,432,"May 08, 2022 14:26",NoMask-0.99,123
118,433,"May 08, 2022 14:26",NoMask-0.99,123
119,434,"May 08, 2022 14:26",18006197,123
120,435,"May 08, 2022 14:27",NoMask,123
121,436,"May 08, 2022 14:27",NoMask-1.0,123
122,437,"May 08, 2022 14:27",NoMask-1.0,123
123,438,"May 08, 2022 14:27",NoMask-1.0,123
124,439,"May 08, 2022 14:27",NoMask-1.0,123
125,440,"May 08, 2022 14:27",NoMask-1.0,123
126,441,"May 08, 2022 14:27",NoMask-1.0,123
127,442,"May 08, 2022 14:27",NoMask-1.0,123
128,443,"May 08, 2022 14:27",NoMask-0.99,123
129,444,"May 08, 2022 14:27",NoMask-0.95,123
130,445,"May 08, 2022 14:27",NoMask-0.98,123
131,446,"May 08, 2022 14:27",NoMask-0.99,123
132,447,"May 08, 2022 14:30",18014225,123
133,448,"May 08, 2022 14:30",18014225,123
134,449,"May 08, 2022 14:30",18014225,123
135,450,"May 08, 2022 14:30",18005637,123
136,451,"May 08, 2022 14:30",18005637,123
137,452,"May 08, 2022 14:30",18014225,123
138,453,"May 08, 2022 14:30",18014225,123
139,454,"May 08, 2022 14:30",18005637,123
140,455,"May 08, 2022 14:30",18005637,123
141,456,"May 08, 2022 14:30",NoMask,123
142,457,"May 08, 2022 14:30",NoMask-0.93,123
143,458,"May 08, 2022 14:30",NoMask-0.93,123
144,459,"May 08, 2022 14:30",18005637,123
145,460,"May 08, 2022 14:30",NoMask-1.0,123
146,461,"May 08, 2022 14:30",NoMask-0.99,123
147,462,"May 08, 2022 14:30",18005637,123
